"goal_area","milestone","status","sub_milestone_or_feature_lane","high_level_work","current_evidence_or_state","related_commits_or_artifacts","last_updated"
"Identity/admission","M1","active","Authoritative identity and admission","Bind joining Steam account to enrollment, compatibility, capacity, least privilege, and TLS/trusted proxy boundaries.","Roadmap active; current alpha accepts known-cohort risk around Caddy/private-socket capability; strict widening remains stop-ship until fixed.","63c65cd Deploy m30 role-control release; 0d6edf1 Refresh public roadmap current state; Lumberjacks/docs/roadmap/valheim-volunteer-roadmap.json","2026-07-23T19:55:59-07:00"
"Guest package","M2","active","Companion client-pull and reversible package","Replace hand copying with Steam-linked Companion flow, immutable modpack, config preservation, rollback, diagnostics, uninstall.","Public Companion bootstrap r26 is live; rollback guard contract is now prelive evidence; clean external tester path still human-gated.","ce7718b Publish Companion bootstrap r26; a03a3e4 Verify Companion bootstrap command coverage; ebd690b Prove Companion rollback contract in Wave 0","2026-07-23T21:40:26-07:00"
"Traffic proof","M3","queued","Append-only evidence and durable proof","Seal per-run traffic evidence; JSONL boundary observations; retained dashboards; no destructive reset of proof.","Strategy/status says not started in current slice; planned event families and stop rules exist, but no sealed M3 run yet.","plans/full-roadmap-working-strategy.md; plans/community-telemetry-surface-integration-plan.md; captures/wave0-prelive-current/strategy-status/packet.json","2026-07-24T04:39:25.9907538Z"
"Recipient correctness","M4a","active","Synthetic recipient isolation and producer loss safety","Recipient-scoped queue, exact readiness leases, reconnect/takeover, producer outbox, N=2/N=10 synthetic proof.","Roadmap says Gateway-only M4a stage-1 proof in progress; producer outbox and stage-3 mod recipient emitter remain open.","Lumberjacks/docs/roadmap/valheim-volunteer-roadmap.json; fieldlab/integration/COMFY-LUMBERJACKS-ACCEPTANCE.md","2026-07-24T03:13:12.990Z"
"Real-client correctness","M4b","gated","Two real Steam clients","Dense/shared/separate-region correctness, reconnects, restarts, save/reload across two real clients.","Blocked by Wave 0 live visual proof; remaining human tests H0-1 through H0-4 are registered.","plans/remaining-human-tests.md; captures/wave0-prelive-current/return-packet/packet.md","2026-07-24T04:39:25.9907538Z"
"External canary","M5","gated","One-seat trusted non-developer canary","Companion-only install, guided route, personal live trace, survey, uninstall, sealed packet reproduction.","Not started; requires owned two-client correctness first.","plans/remaining-human-tests.md H3-5; plans/full-roadmap-working-strategy.md","2026-07-24T04:39:25.9907538Z"
"Widening","M6","gated","2-4 then 5-8 player soak","Predeclare limits; collect per-participant receipts; prove subjective quality and resource ceilings.","Not started; requires M4b/M5 evidence and synthetic N=10 qualifications.","plans/remaining-human-tests.md H4-4; plans/full-roadmap-working-strategy.md","2026-07-24T04:39:25.9907538Z"
"Future authority","M7","discovery_active / p7_promotion_gated","Network authority expansion","Run a lightweight R&D experiment train across synthetic, replay, local-lab, and shadow drivers for relevance, ownership, replication, motion, and RPC claims; promote one bounded claim at a time.","M7-E00 through M7-E11 define the research path. A builder-ready handoff now specifies the AuthorityLab layout, .NET 9 commands, E00-E03 procedures, receipts, stop rules, and roadmap workflow.","plans/m7-authority-experiment-execution-handoff.md; plans/m7-authority-experiment-program.md; plans/m7-authority-expansion-working-strategy.md","2026-07-24T05:49:37.9681996Z"
"Adoption","A1","complete","Trust and rhythm","Data trust note, alpha expectations, weekly rhythm/templates, stream ops hygiene.","Roadmap marks complete; public docs shipped 2026-07-23.","plans/m1-1-data-trust-note.md; plans/m1-2-alpha-expectations-and-status.md; plans/m1-3-weekly-rhythm-templates.md; plans/m1-4-stream-ops-hygiene.md","2026-07-23"
"Adoption","A2","active","Legible tuning","Knob inventory/ledger, decision provenance, GM interview guide.","Tuning ledger and GM guide shipped; decision-provenance hot-path trace still open.","plans/m2-1-tuning-ledger.md; plans/m2-2-decision-provenance.md; plans/m2-3-gm-interview-guide.md","2026-07-23"
"Adoption","A3","queued","Replay and workbooks","Counterfactual replay notebook, tradeoff cards, VOD chaptering, runnable proofs.","Planning docs exist; runnable proof receipts not yet present.","plans/m3-1-replay-notebook.md; plans/m3-2-tradeoff-cards.md; plans/m3-3-vod-chaptering.md; plans/m3-4-runnable-proofs.md","2026-07-23"
"Adoption","A4","queued","Turnkey lab","Inventory/gap, compose stack, lab keys, localhost demo.","Planning docs exist; one-command clean-machine lab proof not yet present.","plans/m4-1-inventory-and-gap.md; plans/m4-2-compose-stack.md; plans/m4-3-lab-mode-keys.md; plans/m4-4-localhost-demo.md","2026-07-23"
"Adoption","A5","queued","Community scale","Support runbook, quest contribution pipeline, GM-driven integration, beachhead map.","Planning docs exist; delegated support/quest dry run not yet proven.","plans/m5-1-support-runbook.md; plans/m5-2-quest-contribution-pipeline.md; plans/m5-3-gm-driven-integration.md; plans/m5-4-beachhead-map.md","2026-07-23"
"Adoption","A6","later","Projection","Node-shape contract, signing hardening, peering pilot.","Planning docs exist; signed read-only aggregate exchange not yet built.","plans/m6-1-node-shape-contract.md; plans/m6-2-signing-hardening.md; plans/m6-3-peering-pilot.md","2026-07-23"
